community,year,events-total,events-red_purple,events-orange,events-yellow,media-seconds-red_purple,median-seconds-orange,median-seconds-yellow
Agassiz,2018,1125,270,336,519,620,687,818
Dawson Creek,2018,1254,270,369,615,439,494,579
Gibsons,2021,1400,270,422,708,478,542,725
Burns Lake,2024,789,269,195,324,526,594,722
Trail,2019,1336,268,370,698,515,596,689
Oak Bay,2021,1632,267,491,874,599,714,"1,263"
Grand Forks,2023,952,266,277,404,478,519,681
Agassiz,2020,1028,264,270,494,669,651,719
Kitimat,2023,1055,264,315,469,480,548,722
Gibsons,2020,1389,261,381,747,483,522,700
Summerland,2019,1349,259,372,718,530,547,639
Smithers,2019,966,258,255,453,423,454,562
Osoyoos,2020,1235,256,354,625,499,487,572
Lake Country,2018,1023,254,275,494,686,719,"1,012"
Smithers,2022,921,254,275,384,528,613,743
Smithers,2021,1012,249,284,479,449,502,607
Nelson,2020,1278,248,363,667,483,521,637
Salt Spring Island,2021,1222,248,337,637,636,705,935
Tofino,2024,769,247,184,328,678,949,"1,268"
North Saanich,2018,1040,246,303,491,703,717,948
North Saanich,2021,1025,244,293,488,754,781,"1,009"
Salt Spring Island,2023,1056,244,302,506,721,711,970
Whistler,2018,1871,244,410,1217,542,612,752
Whistler,2020,1567,243,382,942,530,613,767
Armstrong,2024,829,240,246,335,559,574,868
Castlegar,2023,1070,240,346,478,572,656,799
Salt Spring Island,2018,970,239,261,470,594,620,740
Coldstream,2022,794,238,254,297,794,851,"1,226"
Osoyoos,2019,1104,237,341,526,495,532,642
Osoyoos,2018,1050,236,295,519,509,534,621
Fort Nelson,2024,708,235,210,257,463,474,628
Salt Spring Island,2019,1046,235,273,538,563,626,835
Enderby,2023,875,234,257,382,624,716,932
Grand Forks,2022,949,234,306,405,490,583,684
Kitimat,2022,1051,234,320,483,493,498,620
Creston,2023,1018,233,298,486,442,523,635
Vanderhoof,2024,637,232,159,243,468,506,655
Fort St James,2024,732,231,218,280,506,544,694
